iter	RMSE
163	9.979674682
164	9.976721514
165	9.967703118
166	9.955031747
167	9.946019433
168	9.940811881
169	9.934713506
170	9.919264495
171	9.913816201
172	9.90160257
173	9.893936453
174	9.887036136
175	9.880200894
176	9.87280376
177	9.870148241
178	9.868172994
179	9.865315286
180	9.851428723
181	9.845686559
182	9.841080144
183	9.836675967
184	9.824417107
185	9.820457801
186	9.818299965
187	9.816476599
188	9.811140345
189	9.810025051
190	9.802152478
191	9.799582056
192	9.79322674
193	9.790611582
194	9.779112066
195	9.766955037
196	9.763678513
197	9.755942877
198	9.751486617
199	9.747748398
200	9.743558109
201	9.741065668
202	9.739675676
203	9.735674348
204	9.727069387
205	9.724268986
206	9.719768636
207	9.718628176
208	9.708463988
209	9.707156496
210	9.701539838
211	9.695959668
212	9.678341524
213	9.672763289
214	9.667368926
215	9.666014922
216	9.662067639
217	9.651454964
218	9.637262665
219	9.631923673
220	9.625477703
221	9.619748456
222	9.619032734
223	9.614724151
224	9.612952846
225	9.611311621
226	9.609545666
227	9.607972721
228	9.598984045
229	9.59749434
230	9.582986302
231	9.576555015
232	9.57185695
233	9.563510027
234	9.556580046
235	9.555460322
236	9.548829978
237	9.544279539
238	9.540455561
239	9.52889756
240	9.528319301
241	9.526301266
242	9.52193543
243	9.517048665
244	9.514549701
245	9.514202998
246	9.504567551
247	9.501909678
248	9.497944997
249	9.494411162
250	9.485158879
251	9.485136414
252	9.477744242
253	9.475157395
254	9.468636848
255	9.460856241
256	9.454288664
257	9.447153821
258	9.446869995
259	9.444478318
260	9.442137001
261	9.439968533
262	9.439864239
263	9.439076648
264	9.438867387
265	9.431851708
266	9.42953104
267	9.427650108
268	9.422289896
269	9.421129902
270	9.416041231
271	9.414736238
272	9.409508071
273	9.408057872
274	9.404175646
275	9.400748983
276	9.400518121
277	9.397824229
278	9.397689535
279	9.393692059
280	9.392575733
281	9.388062396
282	9.38538515
283	9.383214446
284	9.380791254
285	9.366019174
286	9.363718667
287	9.363144067
288	9.361501787
289	9.35815281
290	9.356985636
291	9.35591009
292	9.349933321
293	9.348481704
294	9.346880402
295	9.343374915
296	9.341753383
297	9.338418328
298	9.334764749
299	9.333230877
300	9.329666455
301	9.328456507
302	9.320560814
303	9.316277407
304	9.312916089
305	9.310673992
306	9.309380483
307	9.307135084
308	9.301580476
309	9.293010727
310	9.289915922
311	9.287732765
312	9.286175064
313	9.283654317
314	9.282402963
315	9.279782863
316	9.275328223
317	9.274883233
318	9.274363999
319	9.268720928
320	9.264824019
321	9.261741378
322	9.260903994
323	9.258387402
324	9.255876007
325	9.255382098
326	9.254529324
327	9.24960384
328	9.248513128
329	9.242771083
330	9.239035173
331	9.238437954
332	9.235387279
333	9.232552061
334	9.232474825
335	9.227778918
336	9.226628524
337	9.226066516
338	9.220169098
339	9.219365157
340	9.219228897
341	9.21434126
342	9.212674099
343	9.207929967
344	9.207307555
345	9.207046417
346	9.204571872
347	9.201119159
348	9.2009282
349	9.200843212
350	9.199390075
351	9.197235293
352	9.194754983
353	9.19379378
354	9.189226634
355	9.188892403
356	9.18879472
357	9.18866462
358	9.177151896
359	9.166836839
360	9.162819847
361	9.162445117
362	9.162184954
363	9.161010167
364	9.160200182
365	9.157824145
366	9.154332806
367	9.150087858
368	9.148558865
369	9.14728712
370	9.146261872
371	9.144709534
372	9.144529157
373	9.144236149
374	9.140952606
375	9.138850301
376	9.131501443
377	9.127825471
378	9.125336768
379	9.122218143
380	9.121315337
381	9.116452351
382	9.115954309
383	9.104465899
384	9.1005847
385	9.092696659
386	9.090449453
387	9.088595287
388	9.087713295
389	9.086126612
390	9.085902507
391	9.085652205
392	9.083495261
393	9.083246024
394	9.082306067
395	9.07637898
396	9.07448082
397	9.070224113
398	9.069498002
399	9.069223993
400	9.066389707
401	9.061530336
402	9.060449077
403	9.058691828
404	9.057158231
405	9.050870247
406	9.050586029
407	9.049758617
408	9.046710182
409	9.044664171
410	9.042844617
411	9.040057305
412	9.037542263
413	9.036098415
414	9.034328223
415	9.032779394
416	9.032139559
417	9.031155331
418	9.030469338
419	9.029243197
420	9.027609283
421	9.024661183
422	9.024020138
423	9.021462659
424	9.018445478
425	9.017361536
426	9.016636858
427	9.013598937
428	9.013265018
429	9.011821066
430	9.011341197
431	9.010002526
432	9.005145888
433	9.004131968
434	9.002440256
435	8.999010515
436	8.998428368
437	8.996103442
438	8.993916145
439	8.991714697
440	8.989574616
441	8.988125909
442	8.986802537
443	8.986494413
444	8.981715373
445	8.980063803
446	8.979587658
447	8.978335859
448	8.971795615
449	8.968473016
450	8.968242579
451	8.961314695
452	8.96120513
453	8.957683306
454	8.957492653
455	8.955502694
456	8.951044012
457	8.944765113
458	8.944289738
459	8.941635989
460	8.93786759
461	8.937651499
462	8.937483091
463	8.935321734
464	8.932447571
465	8.931664923
466	8.925354989
467	8.923969231
468	8.918391513
469	8.918286991
470	8.918081628
471	8.917015535
472	8.916858212
473	8.915558938
474	8.914037656
475	8.911838672
476	8.908106619
477	8.905524817
478	8.904756576
479	8.904577183
480	8.904213433
481	8.903738803
482	8.901160725
483	8.900020605
484	8.896405849
485	8.892067067
486	8.890321132
487	8.888872486
488	8.888423171
489	8.886758339
490	8.883973433
491	8.882689958
492	8.88091386
493	8.87830019
494	8.87727324
495	8.876416038
496	8.875378412
497	8.874388693
498	8.874027899
499	8.873872271
500	8.873782581
501	8.873524636
502	8.872753032
503	8.870710613
504	8.867180688
505	8.862090779
506	8.860999996
507	8.859260445
508	8.854403282
509	8.853543509
510	8.853379249
511	8.852834061
512	8.85150658
513	8.847532348
514	8.846420134
515	8.845633083
516	8.843923662
517	8.842966206
518	8.839494407
519	8.835287143
520	8.83422354
521	8.833333975
522	8.830408131
523	8.830013919
524	8.826908757
525	8.826063466
526	8.82399548
527	8.823799734
528	8.821011705
529	8.821001398
530	8.819153006
531	8.815021531
532	8.814542818
533	8.812884575
534	8.812669335
535	8.811170286
536	8.811001505
537	8.810547545
538	8.80972411
539	8.808425497
540	8.80511002
541	8.805054569
542	8.803657622
543	8.801077092
544	8.800499386
545	8.800252673
546	8.799537019
547	8.79931309
548	8.798354682
549	8.79775993
550	8.79721954
551	8.795081639
552	8.794986795
553	8.792420243
554	8.792075096
555	8.788921312
556	8.787175699
557	8.786503613
558	8.785783513
559	8.784452204
560	8.783559933
561	8.781467471
562	8.780644866
563	8.779252787
564	8.777659311
565	8.771207428
566	8.768504376
567	8.76654422
568	8.765290509
569	8.765102881
570	8.762992636
571	8.762317889
572	8.761207534
573	8.759680651
574	8.756363651
575	8.753838399
576	8.751902365
577	8.749845771
578	8.747986222
579	8.746787753
580	8.746248802
581	8.746119866
582	8.744964613
583	8.744655343
584	8.741348542
585	8.740625816
586	8.740170796
587	8.738145932
588	8.737598603
589	8.728922859
590	8.727468626
591	8.72629187
592	8.719678575
593	8.714330513
594	8.712526699
595	8.711645852
596	8.707791003
597	8.704130838
598	8.702076424
599	8.70085438
600	8.699857438
601	8.69943136
602	8.698813879
603	8.698736382
604	8.69843413
605	8.69777361
606	8.69764016
607	8.697623539
608	8.693045522
609	8.692132164
610	8.688862077
611	8.688295075
612	8.686219793
613	8.686068078
614	8.684379907
615	8.684334028
616	8.683663386
617	8.67949725
618	8.678406296
619	8.677093247
620	8.67285147
621	8.668992342
622	8.662371321
623	8.658549662
624	8.656753658
625	8.655324267
626	8.65144574
627	8.651183705
628	8.648582949
629	8.648381106
630	8.647850386
631	8.647549056
632	8.645180219
633	8.643670399
634	8.639066073
635	8.638831771
636	8.637980324
637	8.637314718
638	8.636366415
639	8.631623329
640	8.629495478
641	8.627545797
642	8.626493261
643	8.622412535
644	8.622287969
645	8.620566698
646	8.617936924
647	8.616489476
648	8.615894624
649	8.614772222
650	8.612375966
651	8.610258511
652	8.607078393
653	8.60397703
654	8.602662666
655	8.602177727
656	8.601077367
657	8.598985331
658	8.598033162
659	8.597974366
660	8.596865752
661	8.59086433
662	8.587892779
663	8.587537463
664	8.584027768
665	8.583180105
666	8.582816951
667	8.581483937
668	8.579111109
669	8.575635926
670	8.568832361
671	8.566818549
672	8.565250041
673	8.563763266
674	8.560990921
675	8.559574158
676	8.558992883
677	8.556925898
678	8.556642054
679	8.556498364
680	8.555059758
681	8.553111625
682	8.549128718
683	8.544321641
684	8.542183588
685	8.541428253
686	8.538446096
687	8.536288168
688	8.530665596
689	8.526529402
690	8.525456734
691	8.524159494
692	8.523474069
693	8.522890056
694	8.5210952
695	8.520895899
696	8.520187304
697	8.519733724
698	8.519122711
699	8.518549448
700	8.517862464
701	8.517687346
702	8.51202724
703	8.511930913
704	8.511299621
705	8.507940388
706	8.505886417
707	8.505780942
708	8.505136377
709	8.503222691
710	8.498733677
711	8.498437654
712	8.497465191
713	8.492933559
714	8.492305959
715	8.491152143
716	8.488007424
717	8.486172695
718	8.485407707
719	8.485115762
720	8.483025407
721	8.48078091
722	8.480519243
723	8.477324791
724	8.471296827
725	8.470270884
726	8.466270777
727	8.465020792
728	8.464519267
729	8.462069458
730	8.460999173
731	8.460135987
732	8.457106165
733	8.456266723
734	8.455957893
735	8.454100652
736	8.452220743
737	8.450691198
738	8.448875375
739	8.447589947
740	8.447080138
741	8.444333245
742	8.442917265
743	8.442815659
744	8.44072108
745	8.439295074
746	8.438165193
747	8.438027602
748	8.435523014
749	8.435252761
750	8.432348117
751	8.430781652
752	8.426910564
753	8.422372427
754	8.4205918
755	8.420508733
756	8.42032518
757	8.417088432
758	8.415527057
759	8.413434004
760	8.412814386
761	8.409018624
762	8.407445808
763	8.406601692
764	8.405799558
765	8.4050823
766	8.403641318
767	8.399624302
768	8.399267379
769	8.397593345
770	8.396178276
771	8.395392691
772	8.394097061
773	8.393386325
774	8.393168508
775	8.392363596
776	8.39066625
777	8.389865967
778	8.389647659
779	8.385755375
780	8.384985123
781	8.382157841
782	8.380358693
783	8.378357637
784	8.374547231
785	8.371813117
786	8.371313421
787	8.36525378
788	8.36463142
789	8.363274951
790	8.361691187
791	8.36108325
792	8.360101726
793	8.356362982
794	8.353422384
795	8.352651836
796	8.352222032
797	8.350582456
798	8.350008139
799	8.349060034
800	8.348239084
801	8.345746408
802	8.343945982
803	8.34218007
804	8.341725834
805	8.34072832
806	8.337281054
807	8.335705101
808	8.334545271
809	8.331215234
810	8.331157092
811	8.330968079
812	8.329654652
813	8.323838265
814	8.323534559
815	8.319239834
816	8.319063349
817	8.318724571
818	8.317484243
819	8.315038579
820	8.314802476
821	8.312647101
822	8.312340532
823	8.312291016
824	8.310435341
825	8.304144618
826	8.302345511
827	8.300748398
828	8.300695471
829	8.300213131
830	8.296925503
831	8.295871887
832	8.294119674
833	8.293415109
834	8.291236622
835	8.290696571
836	8.290108251
837	8.289679507
838	8.289622789
839	8.289418566
840	8.288060212
841	8.28805586
842	8.287699067
843	8.28659384
844	8.285676108
845	8.285251173
846	8.283828081
847	8.280294576
848	8.279498064
849	8.278846183
850	8.278592039
851	8.277498758
852	8.276660101
853	8.270192358
854	8.267945298
855	8.266501759
856	8.265039121
857	8.263072434
858	8.26201816
859	8.25712911
860	8.256653709
861	8.255306539
862	8.253227149
863	8.247138011
864	8.244534852
865	8.243468135
866	8.242192893
867	8.24180973
868	8.239724143
869	8.239482909
870	8.238824151
871	8.237659034
872	8.23698155
873	8.235003183
874	8.233766824
875	8.230369153
876	8.228403567
877	8.227597142
878	8.220634708
879	8.217125227
880	8.214941634
881	8.213091821
882	8.21223407
883	8.212015329
884	8.210376529
885	8.210073747
886	8.209831338
887	8.20777341
888	8.203793188
889	8.201993589
890	8.201273959
891	8.201060152
892	8.19984419
893	8.199751695
894	8.198155056
895	8.19800613
896	8.197415667
897	8.197250956
898	8.193747135
899	8.193514245
900	8.188384015
901	8.188128839
902	8.187530109
903	8.179989371
904	8.177160266
905	8.173642542
906	8.172993535
907	8.171024406
908	8.170282678
909	8.169329525
910	8.166293084
911	8.165200453
912	8.164196595
913	8.163965611
914	8.159233054
915	8.158732292
916	8.15793556
917	8.157294878
918	8.155161058
919	8.154206659
920	8.152414288
921	8.150924652
922	8.149884861
923	8.148943596
924	8.146872338
925	8.143846013
926	8.141024445
927	8.137311116
928	8.133438144
929	8.133070604
930	8.131977144
931	8.129224693
932	8.127226488
933	8.123606432
934	8.119569332
935	8.117633075
936	8.117121122
937	8.115038066
938	8.11451911
939	8.109326817
940	8.108828159
941	8.107064287
942	8.10647101
943	8.104844857
944	8.104070173
945	8.101911139
946	8.09952806
947	8.098641077
948	8.098428104
949	8.095632138
950	8.094231782
951	8.091610697
952	8.088814374
953	8.088183488
954	8.08717535
955	8.086100315
956	8.083974525
957	8.083452722
958	8.083289588
959	8.082844956
960	8.08268036
961	8.080585096
962	8.080375399
963	8.079746125
964	8.078274933
965	8.077891111
966	8.077403195
967	8.077349201
968	8.07516856
969	8.073536531
970	8.072426728
971	8.07238484
972	8.070188248
973	8.069286964
974	8.067184648
975	8.067003854
976	8.066913653
977	8.065691168
978	8.064579187
979	8.062953779
980	8.059543484
981	8.059259862
982	8.057503828
983	8.053624116
984	8.053111698
985	8.052913024
986	8.052379774
987	8.049949774
988	8.049729339
989	8.049226814
990	8.048837116
991	8.047534449
992	8.045118242
993	8.044686275
994	8.042199655
995	8.041939954
996	8.040345243
997	8.03826379
998	8.037445661
999	8.035308906
